PEOPLE_NEGATIVE_NEW_COUNT,PROVINCE_STATE_CODE,DATA_COMPLETENESS_SCORE_NAME,PEOPLE_POSITIVE_CASES_COUNT,REPORT_DATE,PROVINCE_STATE_NAME,PEOPLE_IN_INTENSIVE_CARE_CURRENTLY_COUNT,PEOPLE_PENDING_CASES_COUNT,PEOPLE_RECOVERED_COUNT,REPORTED_DATE_TIME,PEOPLE_POSITIVE_NEGATIVE_TEST_RESULTS_COUNT,DATA_SOURCE_NAME,PEOPLE_DEATH_NEW_COUNT,PEOPLE_INTUBATED_CUMULATIVE_COUNT,PEOPLE_TEST_RESULTS_NEW_COUNT,PEOPLE_IN_INTENSIVE_CARE_CUMULATIVE_COUNT,PROVINCE_STATE_FIPS_NUMBER,PEOPLE_NEGATIVE_CASES_COUNT,PEOPLE_HOSPITALIZED_NEW_COUNT,PEOPLE_HOSPITALIZED_CUMULATIVE_COUNT,PEOPLE_INTUBATED_CURRENTLY_COUNT,PEOPLE_HOSPITALIZED_CURRENTLY_COUNT,PEOPLE_POSITIVE_NEW_CASES_COUNT,PEOPLE_DEATH_COUNT
1089,AK,A,5558,8/23/2020,Alaska,,,1745,8/23/2020 3:59:00 AM,327440,COVID Tracking Project Historical,1,,1153,,02,321882,0,,7,48,64,32
4859,AL,B,115060,8/23/2020,Alabama,,,44684,8/23/2020 11:00:00 AM,921669,COVID Tracking Project Historical,2,734,5387,1348,01,806609,0,13502,,1093,528,2013
6187,AR,A,56574,8/23/2020,Arkansas,,,50251,8/23/2020 12:00:00 AM,665700,COVID Tracking Project Historical,13,502,6562,,05,609126,12,3920,110,500,375,687
0,AS,C,0,8/23/2020,American Somoa,,,,8/15/2020 12:00:00 AM,1514,COVID Tracking Project Historical,0,,0,,60,1514,0,,,,0,0
6527,AZ,A+,198103,8/23/2020,Arizona,329,,29147,8/23/2020 12:00:00 AM,1150869,COVID Tracking Project Historical,15,,6735,,04,952766,-30,21241,191,969,208,4771
97902,CA,B,663669,8/23/2020,California,1582,,,8/23/2020 12:00:00 AM,10541031,COVID Tracking Project Historical,146,,104679,,06,9877362,0,,,5665,6777,12134
0,CO,A,54883,8/23/2020,Colorado,,,5804,8/22/2020 1:59:00 AM,930152,COVID Tracking Project Historical,0,,11226,,08,594857,23,6831,,258,297,1815
0,CT,B,51519,8/23/2020,Connecticut,,,8893,8/20/2020 8:30:00 PM,1022370,COVID Tracking Project Historical,0,,0,,09,970851,0,11087,,54,0,4460
3550,DC,A+,13590,8/23/2020,District of Columbia,27,,10812,8/22/2020 12:00:00 AM,266046,COVID Tracking Project Historical,0,,3606,,11,252456,0,,12,80,56,604
1902,DE,A+,16895,8/23/2020,Delaware,8,,8936,8/22/2020 6:00:00 PM,221845,COVID Tracking Project Historical,0,,1969,,10,204950,0,,,44,67,600
23812,FL,A,600571,8/23/2020,Florida,,3568,,8/22/2020 11:59:00 PM,4428633,COVID Tracking Project Historical,51,,26786,,12,3828062,139,36903,,4580,2974,10462
20987,GA,A,253949,8/23/2020,Georgia,,,,8/23/2020 2:50:00 PM,2171884,COVID Tracking Project Historical,40,,22714,4265,13,1917935,44,23369,,2360,1727,5132
1022,GU,A,820,8/23/2020,Guam,3,,394,8/22/2020 8:00:00 PM,32591,COVID Tracking Project Historical,0,,1075,,66,31771,0,,,16,53,7
2350,HI,C,6356,8/23/2020,Hawaii,35,,2107,8/22/2020 6:00:00 PM,176184,COVID Tracking Project Historical,1,,2634,,15,169828,40,377,19,192,284,47
3081,IA,A+,56275,8/23/2020,Iowa,82,,43493,8/23/2020 12:00:00 AM,581976,COVID Tracking Project Historical,5,,3621,,19,525701,0,,39,260,540,1036
1134,ID,A,29662,8/23/2020,Idaho,52,,12606,8/22/2020 6:55:00 PM,237280,COVID Tracking Project Historical,2,,1427,346,16,207618,13,1246,,192,293,306
52458,IL,A,221595,8/23/2020,Illinois,339,,,8/23/2020 12:00:00 AM,3705453,COVID Tracking Project Historical,6,,54351,,17,3483858,0,,117,1449,1893,8089
7541,IN,A+,85932,8/23/2020,Indiana,252,,64131,8/22/2020 11:59:00 PM,977802,COVID Tracking Project Historical,2,,8156,2076,18,891870,62,10281,70,894,615,3220
0,KS,A+,36856,8/23/2020,Kansas,89,,1520,8/21/2020 10:00:00 AM,366315,COVID Tracking Project Historical,0,203,0,584,20,329459,0,2159,24,296,0,419
0,KY,B,43529,8/23/2020,Kentucky,166,,9448,8/23/2020 12:00:00 AM,749731,COVID Tracking Project Historical,17,,1264,1340,21,706202,0,4362,,590,1264,881
23808,LA,A,142943,8/23/2020,Louisiana,,,118120,8/23/2020 1:00:00 PM,1763838,COVID Tracking Project Historical,59,,25031,,22,1620895,0,,152,941,1223,4746
0,MA,A+,125360,8/23/2020,Massachusetts,50,,102205,8/22/2020 10:00:00 AM,1553673,COVID Tracking Project Historical,0,,0,,25,1428313,0,12256,20,315,0,8921
11876,MD,A,104102,8/23/2020,Maryland,99,,6047,8/23/2020 10:00:00 AM,1232896,COVID Tracking Project Historical,6,,12455,,24,1128794,92,13956,,407,579,3691
3932,ME,A+,4335,8/23/2020,Maine,2,,3734,8/22/2020 11:59:00 PM,231701,COVID Tracking Project Historical,1,,3950,,23,227366,1,408,1,4,18,131
73669,MI,A+,106808,8/23/2020,Michigan,173,,72580,8/23/2020 12:00:00 AM,2533472,COVID Tracking Project Historical,4,,74433,,26,2426664,0,,95,646,764,6659
8347,MN,A,69584,8/23/2020,Minnesota,137,,62373,8/22/2020 5:00:00 PM,1060320,COVID Tracking Project Historical,6,,9064,1766,27,990736,38,6151,,301,717,1813
9321,MO,A,75075,8/23/2020,Missouri,,,,8/23/2020 12:00:00 AM,914833,COVID Tracking Project Historical,1,,10139,,29,839758,0,,118,957,818,1426
0,MP,D,54,8/23/2020,Northern Mariana Islands,,,29,8/17/2020 7:35:00 PM,12921,COVID Tracking Project Historical,0,,0,,69,12867,0,4,,,0,2
0,MS,A+,77894,8/23/2020,Mississippi,259,,56577,8/22/2020 12:00:00 AM,534248,COVID Tracking Project Historical,3,,626,,28,456354,0,5149,148,982,626,2240
980,MT,C,6429,8/23/2020,Montana,,,4816,8/23/2020 1:59:00 AM,210749,COVID Tracking Project Historical,0,,1033,,30,204320,1,379,,111,53,90
24882,NC,A+,155113,8/23/2020,North Carolina,268,,127749,8/23/2020 12:05:00 PM,2078472,COVID Tracking Project Historical,10,,26354,,37,1923359,0,,,898,1472,2531
1707,ND,B,9876,8/23/2020,North Dakota,17,,8064,8/23/2020 1:59:00 AM,190885,COVID Tracking Project Historical,0,,1847,141,38,181009,2,501,,52,140,112
1625,NE,A,31780,8/23/2020,Nebraska,,,23878,8/22/2020 8:20:00 PM,338361,COVID Tracking Project Historical,0,,1779,,31,306581,16,1907,,139,154,376
1374,NH,B,7107,8/23/2020,New Hampshire,,,6428,8/23/2020 9:00:00 AM,196064,COVID Tracking Project Historical,0,,1389,220,33,188957,1,711,,12,15,429
0,NJ,A+,189494,8/23/2020,New Jersey,72,,33615,8/23/2020 12:00:00 AM,2648998,COVID Tracking Project Historical,3,,258,,34,2459504,3,22448,27,411,258,15946
0,NM,B,24302,8/23/2020,New Mexico,,,11458,8/22/2020 5:49:00 PM,705162,COVID Tracking Project Historical,4,,207,,35,680860,12,3030,,68,207,743
3571,NV,A+,65601,8/23/2020,Nevada,247,,1599,8/23/2020 2:59:00 AM,574229,COVID Tracking Project Historical,0,,4103,,32,508628,0,,138,825,532,1197
73471,NY,A,429737,8/23/2020,New York,110,,74640,8/22/2020 11:59:00 PM,7621159,COVID Tracking Project Historical,6,,74043,,36,7191422,0,89995,50,472,572,25288
22624,OH,A+,114802,8/23/2020,Ohio,271,,94825,8/23/2020 2:00:00 PM,1983889,COVID Tracking Project Historical,3,,23261,2878,39,1869087,22,12800,150,777,637,3978
0,OK,A+,53165,8/23/2020,Oklahoma,237,,44409,8/23/2020 12:00:00 AM,812500,COVID Tracking Project Historical,1,,566,,40,759335,54,4422,,578,566,726
3129,OR,A+,24937,8/23/2020,Oregon,47,,4589,8/23/2020 3:01:00 AM,519820,COVID Tracking Project Historical,0,,3356,,41,494883,0,1984,19,173,227,417
11848,PA,A+,129048,8/23/2020,Pennsylvania,,,103238,8/23/2020 12:00:00 PM,1553020,COVID Tracking Project Historical,2,,12467,,42,1423972,0,,75,501,619,7578
0,PR,B,29896,8/23/2020,Puerto Rico,66,,,8/23/2020 12:00:00 AM,335868,COVID Tracking Project Historical,9,,319,,72,305972,0,,36,370,319,390
0,RI,A+,21022,8/23/2020,Rhode Island,9,,2031,8/21/2020 12:00:00 PM,454977,COVID Tracking Project Historical,0,,0,,44,224832,0,2438,5,81,0,1030
-20489,SC,A+,111988,8/23/2020,South Carolina,250,,46118,8/22/2020 11:59:00 PM,892336,COVID Tracking Project Historical,11,,-19796,,45,780348,0,7439,150,1026,693,2504
989,SD,A,11276,8/23/2020,South Dakota,,,9564,8/22/2020 2:00:00 PM,136760,COVID Tracking Project Historical,1,,1130,,46,125484,8,959,,62,141,161
35579,TN,A+,143937,8/23/2020,Tennessee,330,,104054,8/23/2020 3:00:00 PM,2045193,COVID Tracking Project Historical,4,,37433,,47,1901256,50,6378,164,1009,1854,1567
22770,TX,A,577537,8/23/2020,Texas,1878,,451776,8/23/2020 4:05:00 PM,4668028,COVID Tracking Project Historical,104,,27168,,48,4090491,0,,,5186,4398,11370
2172,UT,A+,49115,8/23/2020,Utah,58,,40831,8/23/2020 11:02:00 AM,624836,COVID Tracking Project Historical,0,298,2473,743,49,575721,27,2926,,156,301,385
11518,VA,A+,112966,8/23/2020,Virginia,251,309,14443,8/22/2020 5:00:00 PM,1470887,COVID Tracking Project Historical,24,,12412,,51,1357921,91,15598,130,1155,894,2467
0,VI,C,960,8/23/2020,Virgin Islands,,101,655,8/21/2020 10:18:00 PM,14318,COVID Tracking Project Historical,0,,0,,78,13358,0,,,,0,10
1435,VT,B,1557,8/23/2020,Vermont,,,1371,8/22/2020 11:59:00 PM,120043,COVID Tracking Project Historical,0,,1439,,50,118486,0,,,13,4,58
0,WA,B,70595,8/23/2020,Washington,,,,8/22/2020 2:59:00 AM,1020702,COVID Tracking Project Historical,7,,816,,53,950107,31,6500,42,371,816,1857
4361,WI,A+,75205,8/23/2020,Wisconsin,108,171,61720,8/23/2020 12:00:00 AM,1190354,COVID Tracking Project Historical,0,,4840,990,55,1115149,13,5558,,333,479,1089
4248,WV,C,9272,8/23/2020,West Virginia,46,,7358,8/22/2020 11:59:00 PM,396193,COVID Tracking Project Historical,2,,4335,,54,386921,0,,23,139,87,178
0,WY,B,3579,8/23/2020,Wyoming,,,2896,8/23/2020 11:32:00 AM,64892,COVID Tracking Project Historical,0,,36,,56,61313,4,207,,19,36,37
4661,AK,A,5494,8/22/2020,Alaska,,,1686,8/22/2020 3:59:00 AM,326287,COVID Tracking Project Historical,1,,4752,,02,320793,0,,6,46,91,31
17420,AL,B,114532,8/22/2020,Alabama,,,44684,8/22/2020 11:00:00 AM,916282,COVID Tracking Project Historical,21,734,19182,1348,01,801750,172,13502,,1067,1762,2011
0,AR,A,56199,8/22/2020,Arkansas,,,49764,8/22/2020 12:00:00 AM,659138,COVID Tracking Project Historical,11,502,547,,05,602939,52,3908,108,492,547,674
0,AS,C,0,8/22/2020,American Somoa,,,,8/15/2020 12:00:00 AM,1514,COVID Tracking Project Historical,0,,0,,60,1514,0,,,,0,0
15150,AZ,A+,197895,8/22/2020,Arizona,363,,28932,8/22/2020 12:00:00 AM,1144134,COVID Tracking Project Historical,68,,16146,,04,946239,61,21271,209,1046,996,4756
100424,CA,B,656892,8/22/2020,California,1675,,,8/22/2020 12:00:00 AM,10436352,COVID Tracking Project Historical,167,,106980,,06,9779460,0,,,5873,6556,11988
0,CO,A,54586,8/22/2020,Colorado,,,5791,8/21/2020 1:59:00 AM,918926,COVID Tracking Project Historical,0,,12233,,08,594857,11,6808,,236,356,1815
0,CT,B,51519,8/22/2020,Connecticut,,,8893,8/20/2020 8:30:00 PM,1022370,COVID Tracking Project Historical,0,,0,,09,970851,0,11087,,54,0,4460
3317,DC,A+,13534,8/22/2020,District of Columbia,26,,10800,8/21/2020 12:00:00 AM,262440,COVID Tracking Project Historical,2,,3382,,11,248906,0,,10,81,65,604
1810,DE,A+,16828,8/22/2020,Delaware,11,,8923,8/21/2020 6:00:00 PM,219876,COVID Tracking Project Historical,0,,1868,,10,203048,0,,,44,58,600
30324,FL,A,597597,8/22/2020,Florida,,3572,,8/21/2020 11:59:00 PM,4401847,COVID Tracking Project Historical,107,,34635,,12,3804250,339,36764,,4745,4311,10411
26476,GA,A,252222,8/22/2020,Georgia,,,,8/22/2020 2:50:00 PM,2149170,COVID Tracking Project Historical,94,,29068,4251,13,1896948,200,23325,,2361,2592,5092
0,GU,A,767,8/22/2020,Guam,3,,394,8/21/2020 8:15:00 AM,31516,COVID Tracking Project Historical,0,,0,,66,30749,0,,,14,0,7
4650,HI,C,6072,8/22/2020,Hawaii,44,,2072,8/21/2020 12:00:00 AM,173550,COVID Tracking Project Historical,1,,4878,,15,167478,20,337,23,227,228,46
4487,IA,A+,55735,8/22/2020,Iowa,79,,43383,8/22/2020 12:00:00 AM,578355,COVID Tracking Project Historical,10,,5216,,19,522620,0,,34,268,729,1031
1824,ID,A,29369,8/22/2020,Idaho,52,,12359,8/21/2020 7:00:00 PM,235853,COVID Tracking Project Historical,6,,2073,344,16,206484,7,1233,,192,249,304
54410,IL,A,219702,8/22/2020,Illinois,322,,,8/22/2020 12:00:00 AM,3651102,COVID Tracking Project Historical,17,,56766,,17,3431400,0,,127,1488,2356,8083
10214,IN,A+,85317,8/22/2020,Indiana,235,,64131,8/21/2020 11:59:00 PM,969646,COVID Tracking Project Historical,10,,11214,2067,18,884329,87,10219,76,883,1000,3218
0,KS,A+,36856,8/22/2020,Kansas,89,,1520,8/21/2020 10:00:00 AM,366315,COVID Tracking Project Historical,0,203,0,584,20,329459,0,2159,24,296,0,419
0,KY,B,42265,8/22/2020,Kentucky,166,,9448,8/21/2020 12:00:00 AM,748467,COVID Tracking Project Historical,0,,0,1340,21,706202,0,4362,,590,0,864
0,LA,A,141720,8/22/2020,Louisiana,,,118120,8/21/2020 1:00:00 PM,1738807,COVID Tracking Project Historical,0,,0,,22,1597087,0,,172,1051,0,4687
8192,MA,A+,125360,8/22/2020,Massachusetts,50,,102205,8/22/2020 10:00:00 AM,1553673,COVID Tracking Project Historical,20,,8336,,25,1428313,11,12256,20,315,144,8921
15550,MD,A,103523,8/22/2020,Maryland,98,,6047,8/22/2020 10:00:00 AM,1220441,COVID Tracking Project Historical,11,,16174,,24,1116918,41,13864,,441,624,3685
3854,ME,A+,4317,8/22/2020,Maine,1,,3718,8/21/2020 11:59:00 PM,227751,COVID Tracking Project Historical,1,,3886,,23,223434,0,407,1,4,32,130
31911,MI,A+,106044,8/22/2020,Michigan,173,,72580,8/22/2020 12:00:00 AM,2459039,COVID Tracking Project Historical,21,,33337,,26,2352995,0,,95,646,1426,6655
8985,MN,A,68867,8/22/2020,Minnesota,148,,61698,8/21/2020 5:00:00 PM,1051256,COVID Tracking Project Historical,8,,9719,1761,27,982389,49,6113,,316,734,1807
7295,MO,A,74257,8/22/2020,Missouri,,,,8/22/2020 12:00:00 AM,904694,COVID Tracking Project Historical,6,,8588,,29,830437,0,,104,913,1293,1425
0,MP,D,54,8/22/2020,Northern Mariana Islands,,,29,8/17/2020 7:35:00 PM,12921,COVID Tracking Project Historical,0,,0,,69,12867,0,4,,,0,2
2875,MS,A+,77268,8/22/2020,Mississippi,259,,56577,8/21/2020 7:00:00 PM,533622,COVID Tracking Project Historical,23,,3820,,28,456354,22,5149,148,982,945,2237
929,MT,C,6376,8/22/2020,Montana,,,4815,8/22/2020 1:59:00 AM,209716,COVID Tracking Project Historical,1,,1089,,30,203340,15,378,,110,160,90
19504,NC,A+,153641,8/22/2020,North Carolina,279,,127749,8/22/2020 11:55:00 AM,2052118,COVID Tracking Project Historical,27,,21233,,37,1898477,0,,,996,1729,2521
1764,ND,B,9736,8/22/2020,North Dakota,16,,7968,8/22/2020 1:59:00 AM,189038,COVID Tracking Project Historical,0,,2026,140,38,179302,8,499,,53,262,112
2537,NE,A,31626,8/22/2020,Nebraska,,,23608,8/21/2020 8:20:00 PM,336582,COVID Tracking Project Historical,3,,2815,,31,304956,14,1891,,140,278,376
4951,NH,B,7092,8/22/2020,New Hampshire,,,6405,8/22/2020 9:00:00 AM,194675,COVID Tracking Project Historical,1,,4993,220,33,187583,0,710,,14,42,429
32629,NJ,A+,189236,8/22/2020,New Jersey,66,,33555,8/22/2020 12:00:00 AM,2648740,COVID Tracking Project Historical,2,,33048,,34,2459504,52,22445,32,376,419,15943
9987,NM,B,24095,8/22/2020,New Mexico,,,11312,8/21/2020 5:50:00 PM,704955,COVID Tracking Project Historical,5,,10131,,35,680860,9,3018,,65,144,739
3179,NV,A+,65069,8/22/2020,Nevada,247,,1599,8/22/2020 2:59:00 AM,570126,COVID Tracking Project Historical,12,,3815,,32,505057,0,,138,825,636,1197
94196,NY,A,429165,8/22/2020,New York,116,,74553,8/21/2020 11:59:00 PM,7547116,COVID Tracking Project Historical,4,,94849,,36,7117951,0,89995,56,483,653,25282
22614,OH,A+,114165,8/22/2020,Ohio,281,,93914,8/22/2020 2:00:00 PM,1960628,COVID Tracking Project Historical,20,,23733,2876,39,1846463,59,12778,155,792,1119,3975
10179,OK,A+,52599,8/22/2020,Oklahoma,237,,44035,8/22/2020 12:00:00 AM,811934,COVID Tracking Project Historical,10,,11032,,40,759335,52,4368,,578,853,725
4854,OR,A+,24710,8/22/2020,Oregon,47,,4589,8/22/2020 12:00:00 AM,516464,COVID Tracking Project Historical,3,,5143,,41,491754,0,1984,19,173,289,417
12615,PA,A+,128429,8/22/2020,Pennsylvania,,,102743,8/22/2020 12:00:00 AM,1540553,COVID Tracking Project Historical,18,,13411,,42,1412124,0,,84,487,796,7576
0,PR,B,29577,8/22/2020,Puerto Rico,67,,,8/22/2020 12:00:00 AM,335549,COVID Tracking Project Historical,7,,731,,72,305972,0,,41,401,731,381
0,RI,A+,21022,8/22/2020,Rhode Island,9,,2031,8/21/2020 12:00:00 PM,454977,COVID Tracking Project Historical,0,,0,,44,224832,0,2438,5,81,0,1030
8034,SC,A+,111295,8/22/2020,South Carolina,258,,46118,8/21/2020 11:59:00 PM,912132,COVID Tracking Project Historical,34,,8951,,45,800837,0,7439,155,1025,917,2493
1604,SD,A,11135,8/22/2020,South Dakota,,,9435,8/21/2020 2:00:00 PM,135630,COVID Tracking Project Historical,1,,1855,,46,124495,3,951,,66,251,160
25283,TN,A+,142083,8/22/2020,Tennessee,358,,103426,8/22/2020 3:00:00 PM,2007760,COVID Tracking Project Historical,14,,26522,,47,1865677,73,6328,170,1100,1239,1563
55275,TX,A,573139,8/22/2020,Texas,1963,,446030,8/22/2020 4:40:00 PM,4640860,COVID Tracking Project Historical,215,,60834,,48,4067721,0,,,5274,5559,11266
2597,UT,A+,48814,8/22/2020,Utah,56,,40352,8/22/2020 10:37:00 AM,622363,COVID Tracking Project Historical,2,297,2966,740,49,573549,29,2899,,148,369,385
15302,VA,A+,112072,8/22/2020,Virginia,254,291,14353,8/21/2020 5:00:00 PM,1458475,COVID Tracking Project Historical,7,,16514,,51,1346403,25,15507,125,1154,1212,2443
463,VI,C,960,8/22/2020,Virgin Islands,,101,655,8/21/2020 10:18:00 PM,14318,COVID Tracking Project Historical,0,,491,,78,13358,0,,,,28,10
1594,VT,B,1553,8/22/2020,Vermont,,,1366,8/21/2020 11:59:00 PM,118604,COVID Tracking Project Historical,0,,1606,,50,117051,0,,,15,12,58
0,WA,B,69779,8/22/2020,Washington,,,,8/21/2020 2:59:00 AM,1019886,COVID Tracking Project Historical,13,,390,,53,950107,69,6469,45,371,390,1850
7750,WI,A+,74726,8/22/2020,Wisconsin,119,190,60933,8/22/2020 12:00:00 AM,1185514,COVID Tracking Project Historical,14,,8725,986,55,1110788,40,5545,,350,975,1089
7420,WV,C,9185,8/22/2020,West Virginia,51,,7307,8/21/2020 11:59:00 PM,391858,COVID Tracking Project Historical,6,,7539,,54,382673,0,,23,138,119,176
0,WY,B,3543,8/22/2020,Wyoming,,,2879,8/22/2020 12:00:00 PM,64856,COVID Tracking Project Historical,0,,19,,56,61313,0,203,,19,19,37
8817,AK,A,5403,8/21/2020,Alaska,,,1601,8/21/2020 12:00:00 AM,321535,COVID Tracking Project Historical,1,,8888,,02,316132,0,,6,46,71,30
0,AL,B,112770,8/21/2020,Alabama,,,44684,8/21/2020 11:00:00 AM,897100,COVID Tracking Project Historical,16,734,321,1348,01,784330,0,13330,,1168,321,1990
9195,AR,A,55652,8/21/2020,Arkansas,,,49135,8/21/2020 2:56:00 PM,658591,COVID Tracking Project Historical,22,499,10082,,05,602939,66,3856,120,509,887,663
0,AS,C,0,8/21/2020,American Somoa,,,,8/15/2020 12:00:00 AM,1514,COVID Tracking Project Historical,0,,0,,60,1514,0,,,,0,0
8926,AZ,A+,196899,8/21/2020,Arizona,365,,28731,8/21/2020 12:00:00 AM,1127988,COVID Tracking Project Historical,4,,9545,,04,931089,67,21210,234,1068,619,4688
95821,CA,B,650336,8/21/2020,California,1706,,,8/21/2020 12:00:00 AM,10329372,COVID Tracking Project Historical,135,,101406,,06,9679036,0,,,6039,5585,11821
0,CO,A,54230,8/21/2020,Colorado,,,5759,8/20/2020 1:59:00 AM,906693,COVID Tracking Project Historical,15,,11486,,08,594857,13,6797,,238,329,1815
7443,CT,B,51519,8/21/2020,Connecticut,,,8893,8/20/2020 8:30:00 PM,1022370,COVID Tracking Project Historical,2,,7530,,09,970851,0,11087,,54,87,4460
5013,DC,A+,13469,8/21/2020,District of Columbia,27,,10772,8/20/2020 12:00:00 AM,259058,COVID Tracking Project Historical,1,,5073,,11,245589,0,,12,78,60,602
1000,DE,A+,16770,8/21/2020,Delaware,10,,8839,8/20/2020 6:00:00 PM,218008,COVID Tracking Project Historical,5,,1052,,10,201238,0,,,37,52,600
26776,FL,A,593286,8/21/2020,Florida,,3564,,8/20/2020 11:59:00 PM,4367212,COVID Tracking Project Historical,118,,31460,,12,3773926,355,36425,,4902,4684,10304
20378,GA,A,249630,8/21/2020,Georgia,,,,8/21/2020 2:50:00 PM,2120102,COVID Tracking Project Historical,94,,23267,4218,13,1870472,245,23125,,2408,2889,4998
761,GU,A,767,8/21/2020,Guam,3,,394,8/21/2020 8:15:00 AM,31516,COVID Tracking Project Historical,1,,824,,66,30749,0,,,14,63,7
0,HI,C,5844,8/21/2020,Hawaii,29,,2031,8/20/2020 11:24:00 PM,168672,COVID Tracking Project Historical,0,,0,,15,162828,0,317,19,165,0,45
3957,IA,A+,55006,8/21/2020,Iowa,81,,42912,8/21/2020 12:00:00 AM,573139,COVID Tracking Project Historical,7,,4948,,19,518133,0,,32,293,991,1021
2209,ID,A,29120,8/21/2020,Idaho,43,,12007,8/20/2020 7:00:00 PM,233780,COVID Tracking Project Historical,7,,2633,340,16,204660,26,1226,,205,424,298
49528,IL,A,217346,8/21/2020,Illinois,351,,,8/21/2020 12:00:00 AM,3594336,COVID Tracking Project Historical,22,,51821,,17,3376990,0,,121,1526,2293,8066
11921,IN,A+,84317,8/21/2020,Indiana,252,,64131,8/20/2020 11:59:00 PM,958432,COVID Tracking Project Historical,17,,12961,2051,18,874115,-13,10132,81,860,1040,3208
5509,KS,A+,36856,8/21/2020,Kansas,89,,1520,8/21/2020 10:00:00 AM,366315,COVID Tracking Project Historical,8,203,6475,584,20,329459,69,2159,24,296,966,419
8110,KY,B,42265,8/21/2020,Kentucky,166,,9448,8/21/2020 12:00:00 AM,748467,COVID Tracking Project Historical,8,,8749,1340,21,706202,13,4362,,590,639,864
18874,LA,A,141720,8/21/2020,Louisiana,,,118120,8/21/2020 1:00:00 PM,1738807,COVID Tracking Project Historical,50,,19773,,22,1597087,0,,172,1051,899,4687
26327,MA,A+,125216,8/21/2020,Massachusetts,66,,102205,8/21/2020 10:00:00 AM,1545337,COVID Tracking Project Historical,13,,26815,,25,1420121,20,12245,15,322,488,8901
15921,MD,A,102899,8/21/2020,Maryland,102,,6047,8/21/2020 10:00:00 AM,1204267,COVID Tracking Project Historical,5,,16591,,24,1101368,38,13823,,455,670,3674
3648,ME,A+,4285,8/21/2020,Maine,1,,3698,8/20/2020 11:59:00 PM,223865,COVID Tracking Project Historical,1,,3680,,23,219580,2,407,1,7,32,129
0,MI,A+,104618,8/21/2020,Michigan,173,,67778,8/20/2020 12:00:00 AM,2425702,COVID Tracking Project Historical,0,,0,,26,2321084,0,,95,646,0,6634
10619,MN,A,68133,8/21/2020,Minnesota,136,,60920,8/20/2020 5:00:00 PM,1041537,COVID Tracking Project Historical,8,,11444,1740,27,973404,45,6064,,296,825,1799
9001,MO,A,72964,8/21/2020,Missouri,,,,8/21/2020 12:00:00 AM,896106,COVID Tracking Project Historical,2,,10232,,29,823142,0,,114,875,1231,1419
0,MP,D,54,8/21/2020,Northern Mariana Islands,,,29,8/17/2020 7:35:00 PM,12921,COVID Tracking Project Historical,0,,0,,69,12867,0,4,,,0,2
1302,MS,A+,76323,8/21/2020,Mississippi,264,,56577,8/20/2020 7:00:00 PM,529802,COVID Tracking Project Historical,24,,2176,,28,453479,30,5127,152,997,874,2214
923,MT,C,6216,8/21/2020,Montana,,,4798,8/21/2020 12:00:00 AM,208627,COVID Tracking Project Historical,0,,1067,,30,202411,6,363,,97,144,89
25570,NC,A+,151912,8/21/2020,North Carolina,284,,127749,8/21/2020 11:30:00 AM,2030885,COVID Tracking Project Historical,29,,27578,,37,1878973,0,,,1015,2008,2494
1993,ND,B,9474,8/21/2020,North Dakota,15,,7841,8/21/2020 12:00:00 AM,187012,COVID Tracking Project Historical,0,,2225,139,38,177538,13,491,,54,232,112
3051,NE,A,31348,8/21/2020,Nebraska,,,23292,8/20/2020 8:20:00 PM,333767,COVID Tracking Project Historical,2,,3359,,31,302419,26,1877,,146,308,373
0,NH,B,7050,8/21/2020,New Hampshire,,,6367,8/20/2020 9:00:00 AM,189682,COVID Tracking Project Historical,0,,0,220,33,182632,0,710,,11,0,428
30195,NJ,A+,188817,8/21/2020,New Jersey,61,,33533,8/21/2020 12:00:00 AM,2615692,COVID Tracking Project Historical,9,,30485,,34,2426875,34,22393,30,414,290,15941
6127,NM,B,23951,8/21/2020,New Mexico,,,11145,8/20/2020 5:51:00 PM,694824,COVID Tracking Project Historical,5,,6329,,35,670873,7,3009,,74,202,734
4499,NV,A+,64433,8/21/2020,Nevada,246,,1599,8/21/2020 2:59:00 AM,566311,COVID Tracking Project Historical,13,,5348,,32,501878,0,,140,807,849,1185
98171,NY,A,428512,8/21/2020,New York,119,,74485,8/20/2020 11:59:00 PM,7452267,COVID Tracking Project Historical,3,,98880,,36,7023755,0,89995,58,490,709,25278
24493,OH,A+,113046,8/21/2020,Ohio,283,,92736,8/21/2020 2:00:00 PM,1936895,COVID Tracking Project Historical,26,,25536,2864,39,1823849,104,12719,156,849,1043,3955
8931,OK,A+,51746,8/21/2020,Oklahoma,246,,43417,8/21/2020 12:00:00 AM,800902,COVID Tracking Project Historical,6,,10008,,40,749156,48,4316,,562,1077,715
4698,OR,A+,24421,8/21/2020,Oregon,47,,4566,8/21/2020 3:01:00 AM,511321,COVID Tracking Project Historical,2,,4954,,41,486900,5,1984,19,173,256,414
13438,PA,A+,127633,8/21/2020,Pennsylvania,,,102106,8/21/2020 12:00:00 AM,1527142,COVID Tracking Project Historical,20,,14131,,42,1399509,0,,93,510,693,7558
0,PR,B,28846,8/21/2020,Puerto Rico,65,,,8/21/2020 12:00:00 AM,334818,COVID Tracking Project Historical,7,,703,,72,305972,0,,42,392,703,374
